Number,Question,StartTime,EndTime,BasePoints,AdditionalBonusPoints,AdditionalBonusInstructions
200,List out the IAM users that accessed an AWS service (successfully or unsuccessfully) in Frothly's AWS environment?,0,1794777456,200,,
201,What field would you use to alert that AWS API activity has occurred without MFA?,0,1794777456,200,,
20201,What is the processor number used on the web servers? (part 1 of 2),0,1794777456,200,,
20202,What is the processor number used on the web servers? (part 2 of 2),0,1794777456,200,,
20501,What is Bud's username? (part 1 of 2),0,1794777456,200,,
20502,What is Bud's username? (part 2 of 2),0,1794777456,200,,
207,What is the name of the text file that was successfully uploaded into the S3 bucket while it was publicly accessible?,0,1794777456,200,,
208,What is the FQDN of the endpoint that is running a different Windows operating system edition than the others?,0,1794777456,200,,
209,A Frothly endpoint exhibits signs of coin mining activity. What is the name of the second process to reach 100 percent CPU processor utilization time from this activity on this endpoint?,0,1794777456,200,,
210,What is the short hostname of the only Frothly endpoint to actually mine Monero cryptocurrency?,0,1794777456,200,,
21101,"Using Splunk's event order functions, what is the first seen signature ID of the coin miner threat according to Frothly's Symantec Endpoint Protection (SEP) data? (part 1 of 4)",0,1794777456,200,,
21102,"Using Splunk's event order functions, what is the first seen signature ID of the coin miner threat according to Frothly's Symantec Endpoint Protection (SEP) data? (part 2 of 4)",0,1794777456,200,,
21103,"Using Splunk's event order functions, what is the first seen signature ID of the coin miner threat according to Frothly's Symantec Endpoint Protection (SEP) data? (part 3 of 4)",0,1794777456,200,,
21104,"Using Splunk's event order functions, what is the first seen signature ID of the coin miner threat according to Frothly's Symantec Endpoint Protection (SEP) data? (part 4 of 4)",0,1794777456,200,,
215,What IAM user access key generates the most distinct errors when attempting to access IAM resources?,0,1794777456,200,,
216,"Bud accidentally commits AWS access keys to an external code repository. Shortly after, he receives a notification from AWS that the account had been compromised. What is the support case ID that Amazon opens on his behalf?",0,1794777456,200,,
217,"AWS access keys consist of two parts: an access key ID (e.g., AKIAIOSFODNN7EXAMPLE) and a secret access key (e.g., wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY). What is the secret access key of the key that was leaked to the external code repository?",0,1794777456,200,,
218,"Using the leaked key, the adversary makes an unauthorized attempt to create a key for a specific resource. What is the name of that resource?",0,1794777456,200,,
219,"Using the leaked key, the adversary makes an unauthorized attempt to describe an account. What is the full user agent string of the application that originated the request?",0,1794777456,200,,
300,What is the full user agent string that uploaded the malicious link file to OneDrive?,0,1794777456,300,,
301,What was the name of the macro-enabled attachment identified as malware?,0,1794777456,300,,
302,What is the name of the executable that was embedded in the malware?,0,1794777456,300,,
303,"What is the password for the user that was successfully created by the user ""root"" on the on-premises Linux system?",0,1794777456,300,,
304,What is the name of the user that was created after the endpoint was compromised?,0,1794777456,300,,
305,"Based on the previous question, what groups was this user assigned to after the endpoint was compromised?",0,1794777456,300,,
306,"What is the process ID of the process listening on a ""leet"" port?",0,1794777456,300,,
307,What is the MD5 value of the file downloaded to Fyodor's endpoint system and used to scan Frothly's network?,0,1794777456,300,,
308,What port number did the adversary use to download their attack tools?,0,1794777456,300,,
309,"Based on the information gathered for question 1, what file can be inferred to contain the attack tools?",0,1794777456,300,,
310,"During the attack, two files are remotely streamed to the /tmp directory of the on-premises Linux server by the adversary. What are the names of these files?",0,1794777456,300,,
311,The Taedonggang adversary sent Grace Hoppy an email bragging about the successful exfiltration of customer data. How many Frothly customer emails were exposed or revealed?,0,1794777456,300,,
312,What is the path of the URL being accessed by the command and control server?,0,1794777456,300,,
313,At least two Frothly endpoints contact the adversary's command and control infrastructure. What are their short hostnames?,0,1794777456,300,,
