Number,Answer
101,www.berkbeer.com
102,/images/ceoberk.png
103,Martin Berk
104,mberk@berkbeer[.]com
105,hbernhard@berkbeer[.]com
106,Saccharomyces_cerevisiae_patent.docx
107,ambersthebest@yeastiebeastie[.]com
201,7.0.4
202,52.42.208.228
203,45.77.65.211
204,/member.php
205,updatexml
206,1502408189
207,kIagerfield
301,Frothly_marketing_campaign_Q317.pptx.crypt
302,S07E02
303,Alcor Micro Corp
304,Perl
305,2017-01-17
306,eidk.duckdns.org
307,eidk.hopto.org
401,invoice.zip
402,912345678
403,C = US
404,:
405,Ryan Kovar
406,process.php
